StoredProcedure|Path|LineNumber|Line
spDALDBDailyPayInOutAccountLog|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\POSData\POSDataAccess.cs|164151|strStoredProcName = "[V10].[spDALDBDailyPayInOutAccountLogCashPurchaseTotal]";

spDALDBDailyPayInOutAccountLog|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\POSData\POSDataAccess.cs|165985|strStoredProcName = "[V10].[spDALDBDailyPayInOutAccountLogPurchaseRebateTotal]";

spDALGroceryCategoryUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Admin\Resources\handler\ManageStoreCategoriesAddUpdate.ashx.cs|132314|cmdAddData.CommandText = "[V10].[spDALGroceryCategoryUpdate]";

spDALGroceryCategoryUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Admin\Resources\handler\ManageStoreCategoriesAddUpdate.ashx.cs|148619|cmdVendorTemp.CommandText = "spDALGroceryCategoryUpdateNew";

spDALGroceryCategoryDeleteNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Admin\Resources\handler\ManageStoreCategoriesDelete.ashx.cs|26451|cmdCSPPOS.CommandText = "spDALGroceryCategoryDeleteNew";

spTaxGroupDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Admin\Resources\handler\ManageStoreTaxGroupsDelete.ashx.cs|15718|cmdTemp.CommandText = "[dbo].spTaxGroupDelete";

spTaxGroupDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Admin\Resources\handler\ManageStoreTaxGroupsDelete.ashx.cs|16038|cmdTemp.CommandText = "[dbo].spTaxGroupDelete";

spDALDataprogramCorpGroupInsert|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\CO\Resources\Handler\CODataProgramCorpGroupQuickAdd.ashx.cs|13872|cmdTemp.CommandText = "[V10].[spDALDataprogramCorpGroupInsert]";

spResetAmaxData|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Customizations\amaxqq.aspx.cs|201711|cmdTemp.CommandText = "spResetAmaxData";

spDALVendorInsertCSP|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Daily\Resources\handler\PurchaseRebatesGrid.ashx.cs|62585|//        cmdTemp.CommandText = "spDALVendorInsertCSP";

spDALStoreSettingPriceLevelUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Gas\Resources\Handler\GasStoreSetting.ashx.cs|231939|//                cmdTempPL.CommandText = "spDALStoreSettingPriceLevelUpdate";

spBOItemAddNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Grocery\Resources\Handler\RetailByItemForm.ashx.cs|124450|cmdTemp.CommandText = "spBOItemAddNewWeb";

spBOItemAddNewWeb|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Grocery\Resources\Handler\RetailByItemForm.ashx.cs|124451|cmdTemp.CommandText = "spBOItemAddNewWeb";

spBLPURStoreAddNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Grocery\Resources\Handler\RetailByItemForm.ashx.cs|176525|cmdPack.CommandText = "spBLPURStoreAddNew";

spBLVendorGlobalGetByStoreVendorID|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\Grocery\Resources\Handler\RetailByItemForm.ashx.cs|206377|cmdTemp.CommandText = "spBLVendorGlobalGetByStoreVendorID";

spBLPromoItemListFind|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPromoItemListCreationItemSearch.aspx.cs|45694|cmdTemp.CommandText = "spBLPromoItemListFind";

spBLPromoPendingChangeBatchAll|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSSentChanges.aspx.cs|129023|cmdTemp.CommandText = "[v10].spBLPromoPendingChangeBatchAll";

spBLDeleteItemsBatchAll|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSSentChanges.aspx.cs|153235|cmdTemp.CommandText = "spBLDeleteItemsBatchAll";

spDALCOAddUpdateCaseFromScheduler|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\COPOSSendSechduledCases.aspx.cs|55724|//            cmdTemp.CommandText = "[V10].spDALCOAddUpdateCaseFromScheduler";

spBOItemAddNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSPurchaseCaseAddUpdate.ashx.cs|338005|cmdTemp.CommandText = "[V10].[spBOItemAddNewWeb]";

spBOItemAddNewWeb|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSPurchaseCaseAddUpdate.ashx.cs|338006|cmdTemp.CommandText = "[V10].[spBOItemAddNewWeb]";

spBLCOFindPURPacksinAllZone|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSPurchaseCaseUpdateZone.ashx.cs|171938|cmdPriceChange.CommandText = "[V10].[spBLCOFindPURPacksinAllZoneByCaseID]";

spDALCOGetScheduledPurchaseCaseByScheduleID|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSScheduledPurchaseCaseDetails.ashx.cs|20435|cmdPriceChange.CommandText = "[V10].[spDALCOGetScheduledPurchaseCaseByScheduleID]";

spBLScheduleCreateCase|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSSchedulePurchaseCase.ashx.cs|82121|cmdTemp.CommandText = "[V10].[spBLScheduleCreateCase]";

spDALCOAddUpdateCaseFromScheduler|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSSendSechduledCases.ashx.cs|22303|cmdTemp.CommandText = "[V10].spDALCOAddUpdateCaseFromScheduler";

spDALPurchaseCaseStaggingGetItems|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|195160|cmdTemp.CommandText = "[pur].[spDALPurchaseCaseStaggingGetItems]";

spBLScheduleCreateCase|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|335677|cmdTemp.CommandText = "[V10].[spBLScheduleCreateCase]";

spDALCOAddUpdateCaseFromScheduler|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|368527|cmdTemp.CommandText = "[V10].[spDALCOAddUpdateCaseFromScheduler]";

spBLPurchaseCaseStaggingNewItemsUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|559325|cmdTemp.CommandText = "[pur].[spBLPurchaseCaseStaggingNewItemsUpdate]";

spDALPurchaseCaseStaggingNewItemsDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|606599|cmdTemp.CommandText = "[pur].[spDALPurchaseCaseStaggingNewItemsDelete]";

spDALPurchaseCaseStaggingNewItemsDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\COPOSUploadVendorPriceBook.ashx.cs|620442|cmdTemp.CommandText = "[pur].[spDALPurchaseCaseStaggingNewItemsDeleteOlderBatch]";

spDALRetailZoneGetScheduledItemByScheduleID|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CentralOffice\Resources\handler\CORetailZoneScheduledItemDetails.ashx.cs|20354|cmdPriceChange.CommandText = "[V10].[spDALRetailZoneGetScheduledItemByScheduleID]";

spBLItemDescriptionFind|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\POSItemInternalLookup.cs|121769|//            cmdTemp.CommandText = "spBLItemDescriptionFind";

spBLItemDescriptionFind|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\POSItemInternalLookup.cs|122854|//            cmdTemp.CommandText = "spBLItemDescriptionFind";

spBLCustomerCreditAccountSync|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\POSSync.cs|465462|cmdPOSTemp.CommandText = "spBLCustomerCreditAccountSync";

spDALPURInvoiceRetailingLogInsert|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\PURInvoice.cs|30186|cmdTemp.CommandText = "[dbo].[spDALPURInvoiceRetailingLogInsertPreValues]";

spINVIncrementForAllLinkedItem|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\PURInvoice.cs|61880|cmdTemp.CommandText = "inv.spINVIncrementForAllLinkedItem";

spBLPURRetailingPURToVendorLink|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\PURInvoice.cs|74083|cmdTemp.CommandText = "spBLPURRetailingPURToVendorLink";

spDALPURInvoiceRetailingLogInsert|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\PURInvoiceNew.cs|68337|cmdTemp.CommandText = "[V10].[spDALPURInvoiceRetailingLogInsertPreValues]";

spINVIncrementForAllLinkedItem|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Classes\PURInvoiceRetailingLogDelete.cs|66680|cmdInvTemp.CommandText = "inv.spINVIncrementForAllLinkedItem";

spDALPOSItemList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\CPBPromoItemListCreation.aspx.cs|80944|cmdTemp.CommandText = "spDALPOSItemList";

